NUM  DGI   KGI   MFI    PLI
110 0.98  1.15  1.43   1.14
111 1.33  1.28  1.84   1.72
113 1.36  1.23  1.99   1.33
115 1.59  1.38  1.91   1.81
116 1.09  1.11  1.76   1.45
117 1.33  1.35  1.90   1.86
118 1.23  1.26  1.94   1.86
119 1.41  1.44  2.10   1.87
120 1.32  1.40  1.50   1.76
121 1.08  1.15  2.05   1.51
124 1.19  1.15  1.99   1.59
125 1.09  1.08  1.81   1.34
126 1.73  1.42  2.64   1.81
127 1.49  1.15  2.05   1.39
128 1.23  1.13  2.11   1.59
129 1.29  1.15  2.58   1.91
130 1.47  1.14  2.43   1.83
131 1.59  1.38  1.78   1.66
132 1.43  1.25  2.17   1.67
133 1.62  1.33  2.40   1.75
139 1.31  1.30  1.63   1.75
140 1.69  1.27  2.30   1.89
141 1.13  1.10  1.92   1.06
142 1.82  1.48  2.52   1.95
143 0.92  0.93  1.58   1.20
144 1.63  1.22  2.14   1.45
145 1.19  1.13  2.19   1.44
146 1.77  1.61  2.17   1.79
147 1.62  1.30  2.31   1.76
149 1.29  1.30  1.79   1.49
151 1.44  1.25  2.02   1.62
152 1.44  1.43  2.14   1.49
154 1.21  1.18  2.08   1.50
155 1.40  1.23  1.90   1.72
156 1.67  1.48  2.52   2.05
157 1.62  1.30  2.27   1.30
158 1.46  1.20  1.95   1.60
160 1.13  1.08  2.20   1.32
163 1.06  1.01  1.85   1.24
167 1.21  1.23  2.34   1.56
172 1.40  1.25  2.48   2.01
177 1.69  1.28  2.29   1.85
179 1.44  1.45  2.21   1.86
182 1.29  1.07  2.71   1.73
183 1.06  1.12  2.45   1.06
184 1.22  1.19  2.77   1.31
185 0.92  1.02  2.42   1.64
186 1.74  1.52  3.26   1.95
188 1.43  1.30  2.84   1.85
189 1.11  1.27  2.51   1.52
191 1.26  1.13  2.69   1.59
193 1.15  1.13  2.43   1.70
194 1.31  1.23  2.72   1.88
195 1.52  1.39  2.62   1.93
196 1.11  1.11  2.76   1.43
197 0.91  1.06  2.51   1.67
198 1.05  1.08  2.71   1.76
199 1.30  1.16  2.81   1.93
200 1.18  1.09  2.78   1.89
201 1.43  1.22  2.62   1.78
203 1.36  1.22  2.48   1.78
204 0.74  0.98  2.16   1.50
205 1.14  1.20  2.62   1.60
206 1.23  1.20  2.55   1.87
207 0.88  1.04  2.32   1.93
209 0.94  1.14  2.33   1.93
210 1.26  1.16  2.67   1.57
211 1.20  1.10  2.79   1.30
212 1.52  1.10  2.28   2.00
213 1.42  1.20  2.32   2.00
216 1.39  1.18  2.42   1.22
218 1.30  1.23  2.36   1.36
220 1.42  1.27  3.04   1.89
223 1.15  1.11  2.80   1.75
224 1.17  1.19  2.34   1.82
225 1.45  1.30  2.52   1.75
226 1.32  1.13  2.80   1.81
229 1.59  1.53  2.83   1.81
230 1.63  1.54  2.85   2.00
231 1.30  1.22  2.77   1.87
232 1.39  1.25  2.57   1.61
233 1.11  1.08  2.63   1.29
234 1.63  1.55  2.84   1.89
237 1.28  1.21  2.89   1.81
241 1.45  1.35  2.61   1.82
242 1.02  1.05  2.40   1.52
243 1.39  1.39  2.41   2.00
244 1.22  1.11  2.37   1.58
247 1.42  1.25  2.63   1.90
248 1.61  1.42  2.66   1.91
249 1.59  1.35  2.66   1.73
250 1.37  1.20  2.62   1.70
252 0.64  1.06  2.39   1.31
253 1.51  1.38  2.68   1.45
255 1.42  1.32  2.60   1.79
256 1.14  1.14  2.40   1.70
258 1.33  1.26  2.95   1.94
259 1.29  1.22  2.66   1.65
260 1.04  1.08  2.45   1.80
261 1.44  1.30  2.69   1.82
262 1.37  1.23  2.63   1.87
263 1.39  1.30  2.67   1.96
264 1.29  1.28  2.41   1.77
272 1.58  1.33  2.78   1.96
278 1.22  1.32  2.51   1.87
279 1.48  1.30  2.88   1.97
283 1.03  1.06  2.46   1.74
284 0.94  1.08  2.46   1.77
285 1.32  1.28  2.62   1.89
286 1.35  1.14  2.42   1.70
287 1.12  1.09  2.40   1.63
288 1.58  1.34  2.88   1.94
292 1.26  1.23  2.72   1.88
293 1.08  1.13  2.44   1.79
296 1.27  1.20  2.55   1.87
298 1.07  1.12  2.49   1.79
299 1.12  1.10  2.60   1.68
300 1.48  1.38  2.72   1.93
301 1.46  1.32  2.62   1.98
303 1.17  1.05  2.42   1.73
315 1.12  1.03  2.45   1.70
316 1.31  1.16  2.43   1.94
317 1.43  1.23  2.69   1.92
319 1.07  1.08  2.46   1.86
320 1.15  1.12  2.30   1.87
321 1.51  1.32  2.82   1.94
322 1.59  1.32  2.66   1.87
324 1.28  1.10  2.63   1.95
328 1.21  1.30  2.64   1.95
329 1.13  1.20  2.48   1.78
330 1.06  1.18  2.47   1.71
331 0.45  0.98  2.10   1.27
332 1.54  1.52  2.65   1.83
339 1.26  1.12  2.57   1.88
341 1.62  1.35  2.54   2.00
344 1.42  1.06  2.45   1.92
346 1.56  1.32  2.65   1.96
347 0.80  1.06  2.10   1.70
348 1.15  1.01  2.63   1.85
351 1.17  1.12  2.57   1.76
352 1.21  1.08  2.28   1.36
353 1.24  1.16  2.14   1.64
354 1.53  1.23  2.41   1.77
355 1.32  1.21  2.73   2.02
356 1.03  1.10  2.05   1.93
357 1.36  1.19  2.84   1.87
358 1.32  1.28  2.31   1.85
360 1.34  1.21  2.45   1.79
365 1.40  1.28  2.17   2.01
370 1.23  1.10  2.32   1.88
377 1.26  1.13  2.42   1.73
379 1.12  1.18  2.32   1.45
380 1.36  1.46  2.53   1.91
381 1.29  1.16  2.54   1.86
383 1.25  1.17  2.74   2.05
384 0.82  1.01  2.61   1.61
386 1.25  1.17  2.49   1.89
393 1.24  1.17  2.23   1.92
394 0.74  1.08  1.81   1.49
399 1.28  1.16  2.58   1.97
402 1.27  1.25  2.60   1.88
403 1.17  1.08  2.49   1.94
411 1.32  1.20  2.22   1.72
413 1.15  1.13  2.62   1.94
415 1.09  1.06  2.36   1.96
421 1.63  1.27  2.36   1.92
423 1.34  1.20  2.72   1.94
426 1.35  1.11  2.21   1.86
429 1.25  1.13  2.56   2.06
431 1.40  1.24  2.37   1.81
432 1.45  1.18  2.40   1.99
433 1.25  1.32  2.32   1.89
434 1.11  1.15  2.20   1.93
435 1.34  1.20  2.21   1.89
436 1.14  1.18  2.37   1.92
441 1.38  1.12  2.92   1.99
457 1.33  1.11  2.17   1.58
460 0.91  1.07  2.01   1.69
462 1.41  1.24  2.75   1.81
463 1.07  1.10  2.42   1.93
465 1.00  1.05  2.07   1.95
468 1.49  1.40  2.71   1.99
476 1.09  1.15  2.40   1.42
477 1.04  1.10  2.48   1.95
480 1.26  1.19  2.43   1.95
481 1.15  1.15  2.23   1.96
482 1.08  1.06  2.35   1.95
485 1.06  1.15  2.39   1.83
486 1.14  1.17  2.27   1.97
487 0.96  1.05  2.04   1.93
489 1.38  1.29  2.53   1.98
490 1.38  1.28  2.67   2.00
494 1.09  1.20  2.30   1.98
495 1.01  1.00  2.34   2.00

